                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6395,                0.88948,                0.93068,                0.97895,                      1,                  0.995,                0.73357,                0.97617,                 1.5352,                 1.0531,             0.00022222,             0.00022222,             0.00022222
                     36,                0.72466,                0.74193,                 0.8193,                0.97895,                      1,                  0.995,                0.73357,                0.97617,                 1.5352,                 1.0531,              0.0002149,              0.0002149,              0.0002149
                     37,                0.59599,                0.85989,                0.86855,                0.97852,                      1,                  0.995,                0.73357,                0.95652,                 1.3926,                 1.0412,             0.00020678,             0.00020678,             0.00020678
                     38,                0.63082,                  0.719,                0.85974,                0.97852,                      1,                  0.995,                0.73357,                0.95652,                 1.3926,                 1.0412,             0.00019788,             0.00019788,             0.00019788
                     39,                0.65095,                 0.7165,                0.86168,                0.97921,                      1,                  0.995,                0.72949,                 0.9854,                 1.2683,                 1.0374,             0.00018818,             0.00018818,             0.00018818
                     40,                0.59052,                0.70624,                 0.8262,                0.97921,                      1,                  0.995,                0.72949,                 0.9854,                 1.2683,                 1.0374,             0.00017768,             0.00017768,             0.00017768
                     41,                0.56322,                0.88518,                0.90185,                0.98252,                      1,                  0.995,                0.74609,                0.98759,                 1.1976,                 1.0353,              0.0001664,              0.0001664,              0.0001664
                     42,                0.57633,                 1.2769,                0.86273,                0.98252,                      1,                  0.995,                0.74609,                0.98759,                 1.1976,                 1.0353,             0.00015432,             0.00015432,             0.00015432
                     43,                0.57829,                 1.0134,                 0.8612,                 0.9821,                      1,                  0.995,                0.70249,                0.98359,                 1.1613,                  1.032,             0.00014146,             0.00014146,             0.00014146
                     44,                0.59994,                 0.9394,                0.86007,                 0.9821,                      1,                  0.995,                0.70249,                0.98359,                 1.1613,                  1.032,              0.0001278,              0.0001278,              0.0001278
                     45,                0.69003,                 1.0075,                0.88099,                0.98106,                      1,                  0.995,                0.74145,                0.97136,                 1.1374,                 1.0359,             0.00011334,             0.00011334,             0.00011334
                     46,                 0.5469,                0.84068,                0.84337,                0.98106,                      1,                  0.995,                0.74145,                0.97136,                 1.1374,                 1.0359,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.63877,                 1.3339,                 0.8682,                0.98184,                      1,                  0.995,                0.74145,                0.97497,                 1.0977,                 1.0348,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 0.5537,                0.93346,                0.82628,                0.98184,                      1,                  0.995,                0.74145,                0.97497,                 1.0977,                 1.0348,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                  0.549,                0.89599,                0.84432,                0.98217,                      1,                  0.995,                0.74145,                0.97943,                 1.0794,                 1.0404,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.56515,                0.92469,                0.89692,                0.98217,                      1,                  0.995,                0.74145,                0.97943,                 1.0794,                 1.0404,             2.9204e-05,             2.9204e-05,             2.9204e-05
