                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 0.6186,                 1.7975,                0.91933,                0.00917,                0.91667,                0.17968,                0.11693,                0.74996,                 3.2612,                0.98779,              0.0002436,              0.0002436,              0.0002436
                     32,                0.70182,                  1.602,                0.93463,                0.00917,                0.91667,                0.17968,                0.11693,                0.74996,                 3.2612,                0.98779,             0.00023944,             0.00023944,             0.00023944
                     33,                0.58937,                 1.7779,                0.90703,                0.00917,                0.91667,                0.15628,                0.10167,                0.77244,                 3.2344,                0.98839,              0.0002345,              0.0002345,              0.0002345
                     34,                0.68583,                 1.6575,                 0.9872,                0.00917,                0.91667,                0.15628,                0.10167,                0.77244,                 3.2344,                0.98839,             0.00022876,             0.00022876,             0.00022876
                     35,                0.62519,                 1.6344,                0.96844,                0.00917,                0.91667,                0.14943,                0.09824,                0.76253,                 3.2091,                0.97785,             0.00022222,             0.00022222,             0.00022222
                     36,                0.69924,                 1.7341,                0.92207,                0.00917,                0.91667,                0.14943,                0.09824,                0.76253,                 3.2091,                0.97785,              0.0002149,              0.0002149,              0.0002149
                     37,                0.64988,                 1.7131,                0.90763,                0.00917,                0.91667,                0.10429,                0.07059,                 0.7504,                 3.2016,                0.97372,             0.00020678,             0.00020678,             0.00020678
                     38,                0.59449,                 1.4249,                0.93708,                0.00917,                0.91667,                0.10429,                0.07059,                 0.7504,                 3.2016,                0.97372,             0.00019788,             0.00019788,             0.00019788
                     39,                0.56646,                 1.4809,                0.88449,                0.00917,                0.91667,                0.10426,                0.07074,                0.71492,                 3.2002,                0.96783,             0.00018818,             0.00018818,             0.00018818
                     40,                0.65027,                  1.643,                0.93643,                0.00917,                0.91667,                0.10426,                0.07074,                0.71492,                 3.2002,                0.96783,             0.00017768,             0.00017768,             0.00017768
                     41,                 0.5429,                 1.6382,                0.90277,                0.00917,                0.91667,                0.10804,                0.07271,                0.69639,                   3.22,                0.97312,              0.0001664,              0.0001664,              0.0001664
                     42,                0.56694,                 1.8666,                 0.8719,                0.00917,                0.91667,                0.10804,                0.07271,                0.69639,                   3.22,                0.97312,             0.00015432,             0.00015432,             0.00015432
                     43,                 0.6158,                 1.7163,                0.83905,                0.00917,                0.91667,                0.10812,                0.07212,                0.70666,                 3.2249,                0.98791,             0.00014146,             0.00014146,             0.00014146
                     44,                0.48858,                 1.5425,                 0.8256,                0.00917,                0.91667,                0.10812,                0.07212,                0.70666,                 3.2249,                0.98791,              0.0001278,              0.0001278,              0.0001278
                     45,                0.55174,                 1.7382,                0.85231,                0.00917,                0.91667,                0.10094,                0.06717,                0.69985,                  3.248,                0.99622,             0.00011334,             0.00011334,             0.00011334
                     46,                0.51492,                 1.4438,                0.88956,                0.00917,                0.91667,                0.10094,                0.06717,                0.69985,                  3.248,                0.99622,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.54917,                 1.5731,                0.83783,                0.00917,                0.91667,                0.09673,                0.06223,                0.71306,                 3.2466,                 1.0093,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.48634,                 1.4574,                0.84149,                0.00917,                0.91667,                0.09673,                0.06223,                0.71306,                 3.2466,                 1.0093,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.62612,                 1.6791,                0.90932,                0.00917,                0.91667,                0.09655,                 0.0614,                0.71817,                 3.2393,                 1.0114,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.47081,                 1.4898,                0.86208,                0.00917,                0.91667,                0.09655,                 0.0614,                0.71817,                 3.2393,                 1.0114,             2.9204e-05,             2.9204e-05,             2.9204e-05
