                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5173,                 3.5435,                 1.4209,                0.00417,                0.41667,                0.00583,                0.00365,                 1.0262,                 3.5568,                 1.2615,                      0,                      0,                      0
                      2,                 1.2549,                 3.4893,                 1.2567,                0.00333,                0.33333,                0.00474,                0.00309,                 1.0397,                 3.5664,                 1.2736,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.2955,                 3.4292,                 1.2838,                0.00333,                0.33333,                  0.004,                0.00273,                 1.0423,                 3.5585,                 1.2721,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.3385,                 3.5344,                 1.3225,                0.00333,                0.33333,                0.00397,                0.00263,                 1.0599,                 3.5609,                 1.2718,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.6042,                 3.5092,                 1.5035,                0.00333,                0.33333,                0.00503,                0.00338,                 1.0704,                 3.5516,                  1.274,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                  1.523,                 3.6673,                 1.4252,                  0.005,                    0.5,                0.00568,                0.00463,                 0.8474,                 3.4847,                 1.1466,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.0944,                 3.3663,                 1.2519,                0.00667,                0.66667,                 0.0095,                0.00853,                0.62837,                 3.3887,                 1.0289,             0.00010574,             0.00010574,             0.00010574
                      8,                  1.117,                 3.3153,                 1.1759,                0.00917,                0.91667,                0.04101,                0.03909,                0.48424,                 3.3042,                0.93787,              0.0001206,              0.0001206,              0.0001206
                      9,                0.89704,                 3.2291,                 1.1052,                   0.01,                      1,                 0.1025,                0.09937,                0.48815,                 3.2575,                0.90609,             0.00013466,             0.00013466,             0.00013466
                     10,                0.75073,                 2.9811,                 1.0541,                   0.01,                      1,                0.10302,                0.09933,                 0.5537,                 3.2395,                0.91405,             0.00014792,             0.00014792,             0.00014792
                     11,                0.65479,                 2.8051,                 1.0168,                   0.01,                      1,                0.10692,                0.09467,                0.57666,                 3.2197,                0.90325,              0.0001604,              0.0001604,              0.0001604
                     12,                0.63505,                 2.5627,                 0.9292,                   0.01,                      1,                0.14334,                 0.1295,                0.59678,                 3.1505,                0.90528,             0.00017208,             0.00017208,             0.00017208
                     13,                0.77678,                 2.3981,                0.98085,                   0.01,                      1,                0.18295,                0.16688,                 0.5993,                  3.085,                0.89713,             0.00018298,             0.00018298,             0.00018298
                     14,                0.99984,                 2.5842,                 1.2156,                   0.01,                      1,                0.15644,                0.13871,                0.59502,                 3.0453,                0.89513,             0.00019308,             0.00019308,             0.00019308
                     15,                0.79119,                 2.2781,                 1.0134,                   0.01,                      1,                0.10108,                0.08927,                0.61285,                 3.0088,                 0.9068,             0.00020238,             0.00020238,             0.00020238
                     16,                0.68865,                 1.9673,                 1.0189,                   0.01,                      1,                0.10119,                0.08967,                0.62836,                 2.9553,                0.91006,              0.0002109,              0.0002109,              0.0002109
                     17,                0.83774,                 2.2146,                 1.1435,                   0.01,                      1,                0.10122,                 0.0854,                0.64242,                  2.935,                0.91071,             0.00021862,             0.00021862,             0.00021862
                     18,                0.69232,                 1.9788,                 1.0083,                   0.01,                      1,                0.10122,                 0.0854,                0.64242,                  2.935,                0.91071,             0.00022556,             0.00022556,             0.00022556
                     19,                0.73115,                 1.9434,                 1.1216,                   0.01,                      1,                0.10122,                0.08488,                0.67905,                 2.9271,                0.91708,              0.0002317,              0.0002317,              0.0002317
                     20,                0.82862,                 2.0143,                 1.0399,                   0.01,                      1,                0.10122,                0.08488,                0.67905,                 2.9271,                0.91708,             0.00023704,             0.00023704,             0.00023704
                     21,                0.74762,                 1.8573,                0.96966,                   0.01,                      1,                0.13914,                0.10758,                0.64899,                 2.9628,                 0.9161,              0.0002416,              0.0002416,              0.0002416
                     22,                0.78744,                 1.9413,                 1.0476,                   0.01,                      1,                0.13914,                0.10758,                0.64899,                 2.9628,                 0.9161,             0.00024536,             0.00024536,             0.00024536
                     23,                0.75035,                 2.0437,                 1.0786,                   0.01,                      1,                0.17457,                 0.1394,                 0.6505,                 3.0391,                0.92722,             0.00024834,             0.00024834,             0.00024834
                     24,                0.65584,                 1.8713,                0.87886,                   0.01,                      1,                0.17457,                 0.1394,                 0.6505,                 3.0391,                0.92722,             0.00025052,             0.00025052,             0.00025052
                     25,                 0.7054,                 1.8126,                 0.9567,                   0.01,                      1,                0.19813,                0.14262,                0.64853,                 3.1319,                0.93966,              0.0002519,              0.0002519,              0.0002519
                     26,                0.59523,                 1.8054,                0.91379,                   0.01,                      1,                0.19813,                0.14262,                0.64853,                 3.1319,                0.93966,              0.0002525,              0.0002525,              0.0002525
                     27,                0.64411,                  1.789,                0.91736,                0.00917,                0.91667,                0.19005,                0.14081,                0.69045,                 3.2193,                0.97554,              0.0002523,              0.0002523,              0.0002523
                     28,                0.70974,                 1.8584,                0.91423,                0.00917,                0.91667,                0.19005,                0.14081,                0.69045,                 3.2193,                0.97554,             0.00025132,             0.00025132,             0.00025132
                     29,                0.58342,                 1.7645,                0.91228,                0.00917,                0.91667,                0.19258,                0.12734,                0.74691,                 3.2452,                0.99216,             0.00024954,             0.00024954,             0.00024954
                     30,                0.65616,                 1.8666,                0.99077,                0.00917,                0.91667,                0.19258,                0.12734,                0.74691,                 3.2452,                0.99216,             0.00024696,             0.00024696,             0.00024696
