                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3606,                 3.2498,                 1.3441,                   0.02,                0.24742,                0.01312,                0.00919,                 1.3339,                 3.3748,                 1.4049,                      0,                      0,                      0
                      2,                 1.2002,                  3.203,                 1.2912,                0.01833,                 0.2268,                0.01209,                0.00825,                 1.3493,                 3.3785,                 1.4128,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.3551,                 3.2411,                 1.4145,                0.01917,                0.23711,                0.01285,                0.00827,                 1.3604,                 3.3775,                 1.4177,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.2131,                 3.3008,                 1.2896,                0.01917,                0.23711,                0.01292,                0.00817,                 1.3779,                 3.3799,                 1.4193,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.2058,                 3.1551,                   1.36,                  0.025,                0.30928,                0.01926,                0.01415,                 1.1347,                 3.3502,                 1.2932,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.0889,                 3.3025,                 1.2145,                0.02917,                0.36082,                0.02812,                0.02194,                0.95411,                 3.3095,                 1.1904,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 0.7497,                 2.9783,                 1.0969,                0.04083,                0.50515,                0.05996,                0.04661,                0.88013,                 3.2657,                 1.1468,             0.00010574,             0.00010574,             0.00010574
                      8,                0.78713,                 2.9486,                 1.0798,                 0.0475,                0.58763,                0.09201,                 0.0751,                0.86012,                 3.2125,                 1.0912,              0.0001206,              0.0001206,              0.0001206
                      9,                0.73693,                 2.7714,                 1.0322,                0.05583,                0.69072,                0.12185,                0.09723,                0.84827,                 3.1713,                 1.0501,             0.00013466,             0.00013466,             0.00013466
                     10,                0.71269,                 2.6011,                0.97664,                0.06833,                0.84536,                0.15816,                0.12338,                0.84085,                 3.0982,                 1.0099,             0.00014792,             0.00014792,             0.00014792
                     11,                0.64804,                 2.3523,                0.96607,                 0.0775,                0.95876,                0.18977,                0.15021,                0.80497,                 2.9925,                0.98114,              0.0001604,              0.0001604,              0.0001604
                     12,                0.59849,                   1.94,                 0.9123,                   0.08,                0.98969,                0.21162,                0.16476,                0.80771,                 2.8791,                0.97651,             0.00017208,             0.00017208,             0.00017208
                     13,                0.61555,                  1.839,                0.92697,                   0.08,                0.98969,                0.24766,                0.19249,                0.83176,                 2.7808,                0.98856,             0.00018298,             0.00018298,             0.00018298
                     14,                0.84661,                 1.7641,                 1.1037,                0.91616,                0.11271,                0.27736,                0.21887,                0.84594,                 2.6775,                0.99448,             0.00019308,             0.00019308,             0.00019308
                     15,                0.71504,                 1.3695,                 1.0133,                0.93425,                0.16495,                0.30494,                0.24567,                0.87073,                 2.5617,                 1.0026,             0.00020238,             0.00020238,             0.00020238
