                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.59643,                 1.1088,                 0.9516,                0.82147,                0.18557,                0.34852,                0.28538,                0.86518,                 2.4753,                0.99949,              0.0002109,              0.0002109,              0.0002109
                     17,                 0.7089,                 1.4075,                 1.0263,                0.70261,                0.20619,                0.37664,                0.31607,                 0.8534,                 2.4408,                0.98994,             0.00021862,             0.00021862,             0.00021862
                     18,                0.69702,                 1.0946,                0.96254,                0.70261,                0.20619,                0.37664,                0.31607,                 0.8534,                 2.4408,                0.98994,             0.00022556,             0.00022556,             0.00022556
                     19,                 0.7398,                 1.0437,                 1.1014,                0.67111,                0.20619,                0.39192,                0.32604,                0.86159,                 2.4586,                0.99447,              0.0002317,              0.0002317,              0.0002317
                     20,                0.82335,                 1.1004,                 0.9841,                0.67111,                0.20619,                0.39192,                0.32604,                0.86159,                 2.4586,                0.99447,             0.00023704,             0.00023704,             0.00023704
                     21,                0.73679,                 1.0709,                0.95319,                0.76452,                0.21649,                0.39707,                0.32862,                 0.8881,                 2.4826,                 1.0087,              0.0002416,              0.0002416,              0.0002416
                     22,                0.69314,                  0.962,                0.97374,                0.76452,                0.21649,                0.39707,                0.32862,                 0.8881,                 2.4826,                 1.0087,             0.00024536,             0.00024536,             0.00024536
                     23,                0.62735,                0.99871,                 1.0077,                 0.9127,                 0.2156,                0.39621,                0.33313,                0.91361,                 2.5076,                 1.0287,             0.00024834,             0.00024834,             0.00024834
                     24,                0.60344,                0.89676,                 0.8943,                 0.9127,                 0.2156,                0.39621,                0.33313,                0.91361,                 2.5076,                 1.0287,             0.00025052,             0.00025052,             0.00025052
                     25,                0.68144,                0.95715,                0.97681,                0.91307,                0.21656,                0.38449,                0.32712,                0.91747,                 2.5478,                 1.0505,              0.0002519,              0.0002519,              0.0002519
                     26,                0.60333,                0.85117,                0.91062,                0.91307,                0.21656,                0.38449,                0.32712,                0.91747,                 2.5478,                 1.0505,              0.0002525,              0.0002525,              0.0002525
                     27,                0.59859,                0.86966,                0.89738,                0.88289,                0.23711,                0.37417,                0.31119,                0.92579,                 2.5723,                 1.0748,              0.0002523,              0.0002523,              0.0002523
                     28,                0.61202,                0.91622,                  0.891,                0.88289,                0.23711,                0.37417,                0.31119,                0.92579,                 2.5723,                 1.0748,             0.00025132,             0.00025132,             0.00025132
                     29,                0.63331,                 1.0116,                0.94224,                0.83762,                0.23711,                0.36888,                0.30103,                0.96339,                 2.5915,                 1.1105,             0.00024954,             0.00024954,             0.00024954
                     30,                0.56493,                0.76692,                0.92454,                0.83762,                0.23711,                0.36888,                0.30103,                0.96339,                 2.5915,                 1.1105,             0.00024696,             0.00024696,             0.00024696
                     31,                 0.6052,                0.87215,                0.92944,                0.75174,                0.23711,                0.36148,                0.29968,                0.96295,                 2.5965,                 1.1152,              0.0002436,              0.0002436,              0.0002436
                     32,                0.63905,                0.80226,                0.93404,                0.75174,                0.23711,                0.36148,                0.29968,                0.96295,                 2.5965,                 1.1152,             0.00023944,             0.00023944,             0.00023944
                     33,                0.61782,                0.88821,                0.94138,                0.78639,                0.23711,                0.35993,                0.30478,                0.97069,                  2.628,                 1.1321,              0.0002345,              0.0002345,              0.0002345
                     34,                0.59262,                0.81605,                0.94941,                0.78639,                0.23711,                0.35993,                0.30478,                0.97069,                  2.628,                 1.1321,             0.00022876,             0.00022876,             0.00022876
                     35,                 0.5972,                0.82999,                0.96119,                0.76021,                0.23711,                0.35128,                0.30128,                0.96426,                 2.6436,                 1.1331,             0.00022222,             0.00022222,             0.00022222
                     36,                0.76269,                0.87184,                0.93841,                0.76021,                0.23711,                0.35128,                0.30128,                0.96426,                 2.6436,                 1.1331,              0.0002149,              0.0002149,              0.0002149
                     37,                0.59517,                0.81057,                0.91059,                0.93426,                 0.2268,                0.35135,                0.30188,                0.96704,                 2.6336,                 1.1411,             0.00020678,             0.00020678,             0.00020678
                     38,                0.55786,                0.74388,                0.90981,                0.93426,                 0.2268,                0.35135,                0.30188,                0.96704,                 2.6336,                 1.1411,             0.00019788,             0.00019788,             0.00019788
                     39,                 0.6387,                0.78835,                0.90145,                 0.9572,                0.23066,                0.34426,                  0.297,                0.97806,                 2.6371,                 1.1522,             0.00018818,             0.00018818,             0.00018818
                     40,                0.59388,                0.76926,                0.94602,                 0.9572,                0.23066,                0.34426,                  0.297,                0.97806,                 2.6371,                 1.1522,             0.00017768,             0.00017768,             0.00017768
                     41,                0.52889,                0.78093,                0.89823,                0.88827,                0.23711,                0.33725,                 0.2881,                0.97565,                 2.6384,                 1.1544,              0.0001664,              0.0001664,              0.0001664
                     42,                0.55006,                0.86676,                0.86973,                0.88827,                0.23711,                0.33725,                 0.2881,                0.97565,                 2.6384,                 1.1544,             0.00015432,             0.00015432,             0.00015432
                     43,                0.49353,                0.72233,                0.86036,                0.81821,                0.23711,                 0.3403,                0.29101,                0.96519,                 2.6103,                 1.1533,             0.00014146,             0.00014146,             0.00014146
                     44,                0.50683,                0.73446,                0.88423,                0.81821,                0.23711,                 0.3403,                0.29101,                0.96519,                 2.6103,                 1.1533,              0.0001278,              0.0001278,              0.0001278
                     45,                0.53484,                0.74802,                 0.8587,                0.91223,                0.23711,                0.34516,                0.29674,                0.95492,                 2.5897,                 1.1487,             0.00011334,             0.00011334,             0.00011334
                     46,                0.47879,                0.70081,                0.88096,                0.91223,                0.23711,                0.34516,                0.29674,                0.95492,                 2.5897,                 1.1487,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                 0.4777,                0.67635,                0.85268,                 0.7986,                0.24532,                 0.3531,                 0.3035,                0.95299,                 2.5765,                 1.1483,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 0.4813,                0.64817,                0.87402,                 0.7986,                0.24532,                 0.3531,                 0.3035,                0.95299,                 2.5765,                 1.1483,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.51299,                 0.6943,                0.87646,                  0.664,                0.26804,                0.35674,                0.30684,                0.95722,                  2.565,                 1.1519,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.48545,                 0.6862,                0.88714,                  0.664,                0.26804,                0.35674,                0.30684,                0.95722,                  2.565,                 1.1519,             2.9204e-05,             2.9204e-05,             2.9204e-05
